"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241800745,0.0447259591215822,24.2792427336333,0,0.998251148955142,1.17357368705977,1.08591241800745,0.738668348758404,0.738520363512251,1
"2","response","~","M","b",0.1533751865749,0.137680342267716,1.11399480890791,0.265281413657448,-0.116473325648972,0.423223698798772,0.1533751865749,0.208693573905313,0.208693573905313,1
"3","response","~","X","c",-0.0505249407998781,0.221380209155501,-0.228226999118916,0.8194697729913,-0.484422177634605,0.383372296034849,-0.0505249407998781,-0.0467643041566533,-0.0467549353687887,1
"4","response","~","S","s0",-0.796323721353546,0.411006517333258,-1.9374965791792,0.0526846711330742,-1.60188169273797,0.00923425003087808,-0.796323721353546,-0.368526158793887,-0.736904656098245,1
"5","response","|","t1","",1.09887024564854,0.496207181936898,2.21453917970152,0.0267917106140267,0.126322040182105,2.07141845111497,1.09887024564854,1.01687615068134,1.01687615068134,1
"6","M","~~","M","",0.982366197474729,0.0669472452885657,14.6737359131118,0,0.851152007844972,1.11358038710449,0.982366197474729,0.454369070542533,0.454369070542533,1
"7","response","~~","response","",0.976890868794238,0,NA,NA,0.976890868794238,0.976890868794238,0.976890868794238,0.836545072655862,0.836545072655862,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517524026771363,0.142567845477345,-0.363001927284931,0.716603444626752,-0.331180245166203,0.227675439811931,-0.0517524026771363,-0.0351963957718446,-0.0351963957718446,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",0.166552019715894,0.149656465581734,1.11289558435371,0.265753276717244,-0.126769262877862,0.459873302309651,0.166552019715894,0.154155337633128,0.154124454063223,1
"17","direct",":=","c","direct",-0.0505249407998781,0.221380209155501,-0.228226999118916,0.8194697729913,-0.484422177634605,0.383372296034849,-0.0505249407998781,-0.0467643041566533,-0.0467549353687887,1
"18","total",":=","c+(a*b)","total",0.116027078916016,0.163981069221976,0.707563863722306,0.47921614014835,-0.205369910905426,0.437424068737459,0.116027078916016,0.107391033476475,0.107369518694434,1
