"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241809651,0.0447259591215822,24.2792427356244,0,0.998251149044196,1.17357368714882,1.08591241809651,0.738668348869885,0.73852036362371,1
"2","response","~","M","b",-0.15817654798195,0.0620534990425719,-2.54903511361112,0.0108021423408815,-0.279799171220082,-0.0365539247438184,-0.15817654798195,-0.186421748508749,-0.186421748508749,1
"3","response","~","X","c",0.110009775622084,0.0947740117267276,1.16075887912487,0.245739969932496,-0.0757438740326788,0.295763425276847,0.110009775622084,0.0881942869632676,0.088176618068577,1
"4","response","~","S","s0",-1.48085993762049,0.1419754189894,-10.4303966712086,0,-1.7591266455297,-1.20259322971128,-1.48085993762049,-0.593599003144818,-1.1869601623513,1
"5","response","|","t1","",-1.50356771742587,0.198218273452182,-7.58541425691809,3.30846461338297e-14,-1.89206839446986,-1.11506704038188,-1.50356771742587,-1.20516122871801,-1.20516122871801,1
"6","M","~~","M","",0.982366196983251,0.0669472452885657,14.6737359057705,0,0.851152007353494,1.11358038661301,0.982366196983251,0.454369070377838,0.454369070377838,1
"7","response","~~","response","",0.975421374251754,0,NA,NA,0.975421374251754,0.975421374251754,0.975421374251754,0.626666654218735,0.626666654218735,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517524052606819,0.142567845477345,-0.363001945406448,0.716603431089796,-0.331180247749749,0.227675437228385,-0.0517524052606819,-0.0351963975313189,-0.0351963975313189,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",-0.171765877705237,0.0677692586316405,-2.53456923055438,0.0112585677924641,-0.304591183882233,-0.038940571528242,-0.171765877705237,-0.137703845164395,-0.137676257496049,1
"17","direct",":=","c","direct",0.110009775622084,0.0947740117267276,1.16075887912487,0.245739969932496,-0.0757438740326788,0.295763425276847,0.110009775622084,0.0881942869632676,0.088176618068577,1
"18","total",":=","c+(a*b)","total",-0.0617561020831535,0.0666336152035354,-0.926801013190064,0.354029858823345,-0.192355588041783,0.0688433838754765,-0.0617561020831535,-0.049509558201127,-0.0494996394274722,1
"19","M","~","X","a",1.05215496768736,0.0454355562226669,23.1570834641275,0,0.963102913873386,1.14120702150133,1.05215496768736,0.722044193192538,0.721789658954238,2
"20","response","~","M","b",-0.532050850321784,0.0522743816782993,-10.1780419631947,0,-0.634506755725351,-0.429594944918217,-0.532050850321784,-0.61662883474572,-0.61662883474572,2
"21","response","~","X","c",-0.0624567996899795,0.0947777585889487,-0.658981607286735,0.509907579630093,-0.248217793059751,0.123304193679792,-0.0624567996899795,-0.0496746120903702,-0.0496571008498249,2
"22","response","~","S","s0",-0.895070402781674,0.151850171816527,-5.89443128100733,3.75974029687143e-09,-1.19269127058829,-0.597449534975062,-0.895070402781674,-0.355616186023342,-0.711637507513117,2
"23","response","|","t1","",-0.39179908202132,0.197600266852439,-1.98278619893719,0.0473913162459141,-0.779088488387604,-0.00450967565503696,-0.39179908202132,-0.311505018274623,-0.311505018274623,2
"24","M","~~","M","",1.01708711567165,0.0708512610060437,14.3552436643984,0,0.878221195840556,1.15595303550274,1.01708711567165,0.478652183076937,0.478652183076937,2
"25","response","~~","response","",0.712084904307839,0,NA,NA,0.712084904307839,0.712084904307839,0.712084904307839,0.450126981073911,0.450126981073911,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922817059673544,0.143236637204902,0.644260489272337,0.519406532031547,-0.188456944220884,0.373020356155592,0.0922817059673544,0.0633062458701275,0.0633062458701275,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",-0.559799945228348,0.0599632399558497,-9.33571877771319,0,-0.677325735938146,-0.442274154518549,-0.559799945228348,-0.445233269483228,-0.445076316332462,2
"35","direct",":=","c","direct",-0.0624567996899795,0.0947777585889487,-0.658981607286735,0.509907579630093,-0.248217793059751,0.123304193679792,-0.0624567996899795,-0.0496746120903702,-0.0496571008498249,2
"36","total",":=","c+(a*b)","total",-0.622256744918327,0.0771349828849055,-8.06711457817795,6.66133814775094e-16,-0.773438533320856,-0.471074956515799,-0.622256744918327,-0.494907881573598,-0.494733417182287,2
"37","M","~","X","a",1.01024255283194,0.0457141993886548,22.0990975745418,0,0.920644368448095,1.09984073721579,1.01024255283194,0.704926962212419,0.705328505962201,3
"38","response","~","M","b",-0.461153670712261,0.0491754214125058,-9.37772686976882,0,-0.557535725605352,-0.36477161581917,-0.461153670712261,-0.559922060951155,-0.559922060951155,3
"39","response","~","X","c",0.10551693350609,0.0818065044834738,1.28983549868465,0.197107779755784,-0.0548208689826332,0.265854735994813,0.10551693350609,0.0893969155796494,0.0894478382633103,3
"40","response","~","S","s0",-1.00769667832042,0.130113550726247,-7.74474812727673,9.54791801177635e-15,-1.26271455164449,-0.752678804996356,-1.00769667832042,-0.42751462574039,-0.854235301442665,3
"41","response","|","t1","",-0.912349260796347,0.179383084793988,-5.08603841797085,3.65620022702018e-07,-1.26393364642826,-0.560764875164435,-0.912349260796347,-0.773408271144009,-0.773408271144009,3
"42","M","~~","M","",1.03205715585808,0.0706107121583114,14.6161555989433,0,0.893662703105061,1.17045160861109,1.03205715585808,0.50307797794597,0.50307797794597,3
"43","response","~~","response","",0.780519930412686,0,NA,NA,0.780519930412686,0.780519930412686,0.780519930412686,0.560892164006661,0.560892164006661,3
"44","X","~~","X","",0.998861723446894,0,NA,NA,0.998861723446894,0.998861723446894,0.998861723446894,1,0.998861723446894,3
"45","X","~~","S","",0.0103567134268537,0,NA,NA,0.0103567134268537,0.0103567134268537,0.0103567134268537,0.020705981017101,0.0103567134268537,3
"46","S","~~","S","",0.250464929859719,0,NA,NA,0.250464929859719,0.250464929859719,0.250464929859719,1,0.250464929859719,3
"47","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,3
"48","M","~1","","",0.0318795507775518,0.145243215325923,0.219490808613777,0.826267738978644,-0.252791920260054,0.316551021815158,0.0318795507775518,0.0222575814665939,0.0222575814665939,3
"49","response","~1","","",0,0,NA,NA,0,0,0,0,0,3
"50","X","~1","","",-0.056,0,NA,NA,-0.056,-0.056,-0.056,-0.0560318989784661,-0.056,3
"51","S","~1","","",1.506,0,NA,NA,1.506,1.506,1.506,3.00920316292026,1.506,3
