"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241836305,0.0447259591215822,24.2792427415839,0,0.998251149310741,1.17357368741536,1.08591241836305,0.738668348899884,0.738520363653703,1
"2","response","~","M","b",-0.195865583910381,0.139430289768985,-1.40475634264908,0.160093745197038,-0.469143930211576,0.0774127623908133,-0.195865583910381,-0.130737866823643,-0.130737866823643,1
"3","response","~","X","c",0.335168854096896,0.193292590825726,1.73399742155191,0.0829185406678321,-0.0436776623999637,0.714015370593755,0.335168854096896,0.15218141161018,0.152150923497761,1
"4","response","~","S","s0",3.90582372636839,0.240833543596895,16.2179390297306,0,3.43379865464932,4.37784879808746,3.90582372636839,0.886707939764949,1.77306059236225,1
"5","response","|","t1","",5.89056157679898,0.388885354297679,15.1472960133385,0,5.12836028826043,6.65276286533753,5.89056157679898,2.6740383925151,2.6740383925151,1
"6","M","~~","M","",0.982366197289901,0.0669472452885657,14.673735910351,0,0.851152007660144,1.11358038691966,0.982366197289901,0.45436907033352,0.45436907033352,1
"7","response","~~","response","",0.962313164378371,0,NA,NA,0.962313164378371,0.962313164378371,0.962313164378371,0.198307118102311,0.198307118102311,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.051752399115915,0.142567845477345,-0.363001902305797,0.716603463286418,-0.331180241604982,0.227675443373152,-0.051752399115915,-0.0351963933451021,-0.0351963933451021,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",-0.212692869898213,0.151618508141242,-1.40281600515471,0.160671713016641,-0.50985968524474,0.0844739454483132,-0.212692869898213,-0.096571924225313,-0.0965525769499059,1
"17","direct",":=","c","direct",0.335168854096896,0.193292590825726,1.73399742155191,0.0829185406678321,-0.0436776623999637,0.714015370593755,0.335168854096896,0.15218141161018,0.152150923497761,1
"18","total",":=","c+(a*b)","total",0.122475984198682,0.120566590396142,1.01583684000905,0.309707089620953,-0.113830190716549,0.358782159113914,0.122475984198682,0.0556094873848667,0.0555983465478552,1
"19","M","~","X","a",1.05215496575287,0.0454355562226669,23.157083421551,0,0.963102911938896,1.14120701956684,1.05215496575287,0.722044192385389,0.721789658147373,2
"20","response","~","M","b",0.104573080530742,0.0606732178709744,1.72354597630085,0.0847898384198984,-0.0143442413225193,0.223490402384004,0.104573080530742,0.147936170858678,0.147936170858678,2
"21","response","~","X","c",0.0567360849284456,0.0880156302880992,0.644613743521836,0.519177526285068,-0.115771380512822,0.229243550369713,0.0567360849284456,0.0550805040116525,0.0550610870919321,2
"22","response","~","S","s0",0.372006909414859,0.122223390939356,3.04366379099594,0.00233716175722831,0.132453465105362,0.611560353724357,0.372006909414859,0.180409379900003,0.361024291047311,2
"23","response","|","t1","",-0.0256597399285111,0.183909811206678,-0.139523496653883,0.889036489884823,-0.38611634629716,0.334796866440138,-0.0256597399285111,-0.024902197194994,-0.024902197194994,2
"24","M","~~","M","",1.01708711668233,0.0708512610060437,14.3552436786632,0,0.878221196851234,1.15595303651342,1.01708711668233,0.478652184242532,0.478652184242532,2
"25","response","~~","response","",0.988877614165371,0,NA,NA,0.988877614165371,0.988877614165371,0.988877614165371,0.931350990415647,0.931350990415647,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922817194998106,0.143236637204902,0.644260583748558,0.519406470778046,-0.188456930688427,0.373020369688049,0.0922817194998106,0.0633062551991653,0.0633062551991653,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",0.110027085964495,0.0640206407115942,1.71861894447691,0.0856837798297043,-0.0154510640974081,0.235505236026399,0.110027085964495,0.106816453012241,0.106778798191716,2
