"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241599815,0.0447259591215822,24.2792426887085,0,0.998251146945837,1.17357368505046,1.08591241599815,0.738668348489568,0.738520363243469,1
"2","response","~","M","b",-1.00304130479533,0.0336906900938032,-29.7720617180181,0,-1.06907384399349,-0.937008765597176,-1.00304130479533,-0.738321594712355,-0.738321594712355,1
"3","response","~","X","c",1.51106904258708,0.106107882490665,14.2408745431332,0,1.30310141442957,1.71903667074459,1.51106904258708,0.756598983046903,0.75644740556706,1
"4","response","~","S","s0",3.31434068356024,0.309366850185232,10.7133026100754,0,2.70799279918659,3.92068856793389,3.31434068356024,0.82975255265616,1.65917263909536,1
"5","response","|","t1","",5.95549368727292,0.601938603386042,9.89385570849237,0,4.77571570373194,7.1352716708139,5.95549368727292,2.98134474444373,2.98134474444373,1
"6","M","~~","M","",0.982366195413046,0.0669472452885657,14.6737358823161,0,0.851152005783288,1.1135803850428,0.982366195413046,0.454369070939694,0.454369070939694,1
"7","response","~~","response","",0.0116493681148249,0,NA,NA,0.0116493681148249,0.0116493681148249,0.0116493681148249,0.00291938402963347,0.00291938402963347,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517524033341078,0.142567845477345,-0.363001931893063,0.71660344118443,-0.331180245823175,0.227675439154959,-0.0517524033341078,-0.0351963962709613,-0.0351963962709613,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",-1.08921500663623,0.0567195770553935,-19.2035107309154,0,-1.20038333488315,-0.978046678389318,-1.08921500663623,-0.545374793020359,-0.545265532317466,1
"17","direct",":=","c","direct",1.51106904258708,0.106107882490665,14.2408745431332,0,1.30310141442957,1.71903667074459,1.51106904258708,0.756598983046903,0.75644740556706,1
"18","total",":=","c+(a*b)","total",0.421854035950844,0.0891043511510907,4.7343819970758,2.19723560146434e-06,0.247212716828896,0.596495355072792,0.421854035950844,0.211224190026544,0.211181873249594,1
"19","M","~","X","a",1.05215496615323,0.0454355562226669,23.1570834303625,0,0.963102912339255,1.1412070199672,1.05215496615323,0.722044192653466,0.721789658415356,2
"20","response","~","M","b",-0.0752124967777641,0.178750223569147,-0.420768686471988,0.67392399943862,-0.425556497201774,0.275131503646246,-0.0752124967777641,-0.0437718529490241,-0.0437718529490241,2
"21","response","~","X","c",0.585770325741208,0.307492985260295,1.90498760563708,0.0567816822561502,-0.0169048508676759,1.18844550235009,0.585770325741208,0.233946397949942,0.233863927418683,2
"22","response","~","S","s0",4.49240123461995,0.328684659634655,13.6678153449979,0,3.84819113946522,5.13661132977468,4.49240123461995,0.896266366841886,1.79355380445291,2
"23","response","|","t1","",7.13533937337499,0.503685157516825,14.1662688822365,0,6.14813460509463,8.12254414165534,7.13533937337499,2.84872486022767,2.84872486022767,2
"24","M","~~","M","",1.01708711587851,0.0708512610060437,14.3552436673181,0,0.878221196047419,1.1559530357096,1.01708711587851,0.478652183855405,0.478652183855405,2
"25","response","~~","response","",0.994246419886512,0,NA,NA,0.994246419886512,0.994246419886512,0.994246419886512,0.158476831300386,0.158476831300386,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922817082355889,0.143236637204902,0.644260505107911,0.519406521764578,-0.188456941952649,0.373020358423827,0.0922817082355889,0.0633062474712029,0.0633062474712029,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
