"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241827831,0.0447259591215822,24.2792427396891,0,0.998251149225995,1.17357368733062,1.08591241827831,0.738668348925102,0.738520363678916,1
"2","response","~","M","b",-0.570722676061358,0.0491455270866578,-11.6129118944031,0,-0.667046139152445,-0.474399212970271,-0.570722676061358,-0.59965792903191,-0.59965792903191,1
"3","response","~","X","c",-0.158573215763565,0.09516330766214,-1.66632728158788,0.095648245757771,-0.345089871431064,0.0279434399039337,-0.158573215763565,-0.11333472011058,-0.113312014566906,1
"4","response","~","S","s0",-1.11687110574985,0.152343916958081,-7.33124845448979,2.28039809258007e-13,-1.41545969625145,-0.818282515248254,-1.11687110574985,-0.399122492282955,-0.798085063701926,1
"5","response","|","t1","",-2.46510147070384,0.261633508817723,-9.42196388315555,0,-2.97789372513542,-1.95230921627226,-2.46510147070384,-1.7614930265006,-1.7614930265006,1
"6","M","~~","M","",0.982366196988946,0.0669472452885657,14.6737359058556,0,0.851152007359188,1.1135803866187,0.982366196988946,0.454369070296264,0.454369070296264,1
"7","response","~~","response","",0.680019386458226,0,NA,NA,0.680019386458226,0.680019386458226,0.680019386458226,0.347227048596078,0.347227048596078,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517523958332653,0.142567845477343,-0.363001879280626,0.716603480486454,-0.331180238322329,0.227675446655798,-0.0517523958332653,-0.0351963911165466,-0.0351963911165466,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",-0.619754841328056,0.059024162930703,-10.5000191541162,0,-0.735440074889858,-0.504069607766254,-0.619754841328056,-0.442948332357847,-0.442859591831591,1
"17","direct",":=","c","direct",-0.158573215763565,0.09516330766214,-1.66632728158788,0.095648245757771,-0.345089871431064,0.0279434399039337,-0.158573215763565,-0.11333472011058,-0.113312014566906,1
"18","total",":=","c+(a*b)","total",-0.778328057091621,0.0807203037201635,-9.64228355470371,0,-0.936536945204276,-0.620119168978966,-0.778328057091621,-0.556283052468427,-0.556171606398498,1
"19","M","~","X","a",1.05215495874331,0.0454355562226669,23.1570832672763,0,0.963102904929339,1.14120701255728,1.05215495874331,0.722044189673528,0.721789655436468,2
"20","response","~","M","b",-0.242294424518292,0.0595563960579435,-4.06831911525606,4.73535003548964e-05,-0.359022815840865,-0.12556603319572,-0.242294424518292,-0.246394502591239,-0.246394502591239,2
"21","response","~","X","c",-0.1905028272628,0.101062759841568,-1.88499529956874,0.059430472426292,-0.388582196730495,0.00757654220489393,-0.1905028272628,-0.132945331084817,-0.132898465340446,2
"22","response","~","S","s0",-1.86063805956374,0.190684232464594,-9.75769226178267,0,-2.23437228761401,-1.48690383151347,-1.86063805956374,-0.648639109313206,-1.29801718023285,2
"23","response","|","t1","",-4.00446724206428,0.354123761611492,-11.3081009414375,0,-4.69853706089265,-3.31039742323591,-4.00446724206428,-2.7935939777013,-2.7935939777013,2
"24","M","~~","M","",1.01708711909189,0.0708512610060437,14.355243712672,0,0.878221199260798,1.15595303892298,1.01708711909189,0.478652188158699,0.478652188158699,2
"25","response","~~","response","",0.940290285384107,0,NA,NA,0.940290285384107,0.940290285384107,0.940290285384107,0.457613712946508,0.457613712946508,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922816527887234,0.143236637204902,0.644260118008169,0.519406772740089,-0.188456997399514,0.373020302976961,0.0922816527887234,0.0633062096186257,0.0633062096186257,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",-0.254931280232778,0.0635338919581279,-4.01252421936926,6.0072913398157e-05,-0.379455420268368,-0.130407140197188,-0.254931280232778,-0.177907718963503,-0.17784500312677,2
"35","direct",":=","c","direct",-0.1905028272628,0.101062759841568,-1.88499529956874,0.059430472426292,-0.388582196730495,0.00757654220489393,-0.1905028272628,-0.132945331084817,-0.132898465340446,2
"36","total",":=","c+(a*b)","total",-0.445434107495579,0.0792226893399446,-5.62255726492976,1.88151165758654e-08,-0.600707725360275,-0.290160489630882,-0.445434107495579,-0.31085305004832,-0.310743468467216,2
"37","M","~","X","a",1.01024256326698,0.0457141993886548,22.0990978028087,0,0.920644378883132,1.09984074765082,1.01024256326698,0.704926966599283,0.705328510351563,3
"38","response","~","M","b",-0.153488094246136,0.0589433998093056,-2.60399119736395,0.0092145123374483,-0.26901503499872,-0.0379611534935517,-0.153488094246136,-0.172474526502735,-0.172474526502735,3
"39","response","~","X","c",-0.0531746466716151,0.0898775292606317,-0.59163449539669,0.554095369334641,-0.229331367041898,0.122982073698668,-0.0531746466716151,-0.0416939789529962,-0.0417177288697245,3
"40","response","~","S","s0",-1.51494750862934,0.145020133512157,-10.4464633422941,0,-1.79918174734636,-1.23071326991233,-1.51494750862934,-0.594822094465764,-1.18853952725181,3
"41","response","|","t1","",-3.01201091475781,0.253012542313753,-11.9045913187288,0,-3.50790638532968,-2.51611544418594,-3.01201091475781,-2.36304822993008,-2.36304822993008,3
"42","M","~~","M","",1.03205715164542,0.0706107121583114,14.616155539283,0,0.893662698892403,1.17045160439843,1.03205715164542,0.503077971761134,0.503077971761134,3
"43","response","~~","response","",0.975686183469807,0,NA,NA,0.975686183469807,0.975686183469807,0.975686183469807,0.600540420659084,0.600540420659084,3
"44","X","~~","X","",0.998861723446894,0,NA,NA,0.998861723446894,0.998861723446894,0.998861723446894,1,0.998861723446894,3
