"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241814923,0.0447259591215822,24.2792427368031,0,0.998251149096914,1.17357368720154,1.08591241814923,0.738668348916872,0.738520363670688,1
"2","response","~","M","b",-0.0606976159944809,0.0700079369745327,-0.867010493632476,0.385936260106854,-0.197910651096515,0.0765154191075532,-0.0606976159944809,-0.0626315945413363,-0.0626315945413363,1
"3","response","~","X","c",0.976515331742672,0.136761394058414,7.14028500854254,9.31477117660506e-13,0.708467924912691,1.24456273857265,0.976515331742672,0.685418136569396,0.685280819501691,1
"4","response","~","S","s0",0.815947678761712,0.16648510387149,4.90102513550728,9.53378561874274e-07,0.489642871211182,1.14225248631224,0.815947678761712,0.286357683968424,0.57260062980729,1
"5","response","|","t1","",2.66424402746749,0.263961444678847,10.0933074931037,0,2.14688910258979,3.18159895234519,2.66424402746749,1.86966376373958,1.86966376373958,1
"6","M","~~","M","",0.982366196803579,0.0669472452885657,14.6737359030867,0,0.851152007173821,1.11358038643334,0.982366196803579,0.454369070308422,0.454369070308422,1
"7","response","~~","response","",0.996380765880681,0,NA,NA,0.996380765880681,0.996380765880681,0.996380765880681,0.490686777848863,0.490686777848863,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517523960696408,0.142567845477342,-0.363001880938613,0.716603479247921,-0.331180238558703,0.227675446419422,-0.0517523960696408,-0.0351963912810954,-0.0351963912810954,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",-0.0659122949604599,0.0760091092667402,-0.86716310184813,0.385852650130701,-0.21488741162024,0.0830628216993206,-0.0659122949604599,-0.0462639765298798,-0.0462547079779427,1
"17","direct",":=","c","direct",0.976515331742672,0.136761394058414,7.14028500854254,9.31477117660506e-13,0.708467924912691,1.24456273857265,0.976515331742672,0.685418136569396,0.685280819501691,1
"18","total",":=","c+(a*b)","total",0.910603036782212,0.114777013683751,7.93367075476654,2.22044604925031e-15,0.685644223709,1.13556184985542,0.910603036782212,0.639154160039516,0.639026111523748,1
"19","M","~","X","a",1.05215497921063,0.045435556222667,23.1570837177455,0,0.963102925396661,1.1412070330246,1.05215497921063,0.722044196539379,0.721789662299899,2
"20","response","~","M","b",-0.986035262495229,0.0339361109196737,-29.0556353033251,0,-1.05254881767315,-0.919521707317312,-0.986035262495229,-0.286295352903847,-0.286295352903847,2
"21","response","~","X","c",4.09956490615244,0.106633396153023,38.4454125447662,0,3.89056729014332,4.30856252216156,4.09956490615244,0.816852581560368,0.816564625571509,2
"22","response","~","S","s0",-7.64325702061547,0.039155177159462,-195.204250755597,0,-7.7199997576563,-7.56651428357463,-7.64325702061547,-0.760770999507981,-1.52240870679207,2
"23","response","|","t1","",-11.8997811722688,0.146773066317142,-81.0760548298163,0,-12.187451096151,-11.6121112483867,-11.8997811722688,-2.37023698362084,-2.37023698362084,2
"24","M","~~","M","",1.01708711825128,0.0708512610060437,14.3552437008076,0,0.878221198420191,1.15595303808238,1.01708711825128,0.478652178243802,0.478652178243802,2
"25","response","~~","response","",0.0111212448814063,0,NA,NA,0.0111212448814063,0.0111212448814063,0.0111212448814063,0.000441223864391545,0.000441223864391545,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922816953418954,0.143236637204901,0.644260415091189,0.519406580126773,-0.18845695484634,0.373020345530131,0.0922816953418954,0.0633062381810527,0.0633062381810527,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",-1.03746191111162,0.0543557322323097,-19.0865225893312,0,-1.14399718864025,-0.930926633582988,-1.03746191111162,-0.206717898060416,-0.206645026090498,2
"35","direct",":=","c","direct",4.09956490615244,0.106633396153023,38.4454125447662,0,3.89056729014332,4.30856252216156,4.09956490615244,0.816852581560368,0.816564625571509,2
"36","total",":=","c+(a*b)","total",3.06210299504082,0.0905628554377947,33.8119086488401,0,2.88460306004564,3.23960293003601,3.06210299504082,0.610134683499952,0.609919599481011,2
"37","M","~","X","a",1.01024255293756,0.0457141993886548,22.0990975768522,0,0.920644368553714,1.09984073732141,1.01024255293756,0.704926962185391,0.705328505935157,3
"38","response","~","M","b",-0.067196143947436,0.0737671660790041,-0.910922128626568,0.362336405250952,-0.211777132703869,0.0773848448089968,-0.067196143947436,-0.0571161054693625,-0.0571161054693625,3
"39","response","~","X","c",1.40574805977816,0.138564753515145,10.1450623200836,0,1.13416613336181,1.67732998619452,1.40574805977816,0.83375834172628,0.834233271001077,3
"40","response","~","S","s0",-0.512770117003,0.158629117929499,-3.23250941375652,0.00122708092771884,-0.823677475044176,-0.201862758961824,-0.512770117003,-0.152291682080216,-0.304300538779704,3
"41","response","|","t1","",0.233845930981546,0.26267584418066,0.890245282016545,0.373334195093306,-0.280989263221203,0.748681125184294,0.233845930981546,0.13877455106985,0.13877455106985,3
"42","M","~~","M","",1.03205715623119,0.0706107121583114,14.6161556042274,0,0.893662703478178,1.17045160898421,1.03205715623119,0.503077977984077,0.503077977984077,3
"43","response","~~","response","",0.995339929863456,0,NA,NA,0.995339929863456,0.995339929863456,0.995339929863456,0.350535053798813,0.350535053798813,3
"44","X","~~","X","",0.998861723446894,0,NA,NA,0.998861723446894,0.998861723446894,0.998861723446894,1,0.998861723446894,3
"45","X","~~","S","",0.0103567134268537,0,NA,NA,0.0103567134268537,0.0103567134268537,0.0103567134268537,0.020705981017101,0.0103567134268537,3
"46","S","~~","S","",0.250464929859719,0,NA,NA,0.250464929859719,0.250464929859719,0.250464929859719,1,0.250464929859719,3
"47","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,3
