"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241793726,0.0447259591215822,24.279242732064,0,0.998251148884953,1.17357368698958,1.08591241793726,0.738668348788579,0.738520363542421,1
"2","response","~","M","b",0.0955197612634172,0.0540486790180531,1.76729131958085,0.0771794528256435,-0.0104137030239326,0.201453225550767,0.0955197612634172,0.127669252919461,0.127669252919461,1
"3","response","~","X","c",-0.422505151921034,0.0830142033270337,-5.08955257037858,3.58909352016212e-07,-0.585210000647305,-0.259800303194763,-0.422505151921034,-0.384131381785677,-0.384054424681471,1
"4","response","~","S","s0",0.689249938136011,0.120272091931396,5.73075538196481,9.99843696725122e-09,0.453520969605185,0.924978906666836,0.689249938136011,0.313324618561529,0.626523693850813,1
"5","response","|","t1","",1.35580274061301,0.197519155602986,6.86415824568518,6.68842758955179e-12,0.968672309374396,1.74293317185163,1.35580274061301,1.23241583957066,1.23241583957066,1
"6","M","~~","M","",0.982366197171091,0.0669472452885657,14.6737359085763,0,0.851152007541333,1.11358038680085,0.982366197171091,0.454369070497954,0.454369070497954,1
"7","response","~~","response","",0.991036866462365,0,NA,NA,0.991036866462365,0.991036866462365,0.991036866462365,0.818863170285175,0.818863170285175,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517524180037094,0.142567845477342,-0.363002034788652,0.716603364320387,-0.331180260492772,0.227675424485353,-0.0517524180037094,-0.0351964061990373,-0.0351964061990373,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",0.103726094914348,0.0588484238622865,1.76259767223471,0.0779683699661238,-0.0116146964026814,0.219066886231376,0.103726094914348,0.0943052362450895,0.0942863430792693,1
"17","direct",":=","c","direct",-0.422505151921034,0.0830142033270337,-5.08955257037858,3.58909352016212e-07,-0.585210000647305,-0.259800303194763,-0.422505151921034,-0.384131381785677,-0.384054424681471,1
"18","total",":=","c+(a*b)","total",-0.318779057006687,0.0597335849068172,-5.33668048726648,9.46636380394494e-08,-0.435854732091514,-0.20170338192186,-0.318779057006687,-0.289826145540587,-0.289768081602202,1
"19","M","~","X","a",1.05215496658873,0.0454355562226669,23.1570834399477,0,0.963102912774761,1.1412070204027,1.05215496658873,0.722044192725549,0.721789658487414,2
"20","response","~","M","b",0.0699032629375273,0.0823048211940759,0.849321606236097,0.395702361407393,-0.0914112223568704,0.231217748231925,0.0699032629375273,0.0899178049150184,0.0899178049150184,2
"21","response","~","X","c",-0.539031970756176,0.125753030977769,-4.28643322999879,1.81564740842077e-05,-0.785503382419353,-0.292560559093,-0.539031970756176,-0.475824546680223,-0.475656809525495,2
"22","response","~","S","s0",0.510282833445747,0.167509641245411,3.04628933386678,0.0023168477054587,0.181969969541516,0.838595697349979,0.510282833445747,0.225015710922122,0.450287770819859,2
"23","response","|","t1","",-0.665635487396476,0.243541200776805,-2.73315350861927,0.00627310876782561,-1.14296746967065,-0.188303505122299,-0.665635487396476,-0.587375275343681,-0.587375275343681,2
"24","M","~~","M","",1.01708711629623,0.0708512610060437,14.3552436732138,0,0.878221196465135,1.15595303612732,1.01708711629623,0.47865218375131,0.47865218375131,2
"25","response","~~","response","",0.995030038214974,0,NA,NA,0.995030038214974,0.995030038214974,0.995030038214974,0.774808862013865,0.774808862013865,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922816998237961,0.143236637204902,0.644260446381367,0.519406559839837,-0.188456950364442,0.373020350012034,0.0922816998237961,0.0633062416807386,0.0633062416807386,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",0.0735490652804774,0.0866490080663684,0.848816009805247,0.395983680196633,-0.0962798698257251,0.24337800038668,0.0735490652804774,0.0649246288615179,0.064901741701549,2
"35","direct",":=","c","direct",-0.539031970756176,0.125753030977769,-4.28643322999879,1.81564740842077e-05,-0.785503382419353,-0.292560559093,-0.539031970756176,-0.475824546680223,-0.475656809525495,2
"36","total",":=","c+(a*b)","total",-0.465482905475699,0.0920157581392325,-5.0587303184674,4.22057261140196e-07,-0.645830477438743,-0.285135333512655,-0.465482905475699,-0.410899917818705,-0.410755067823946,2
"37","M","~","X","a",1.01024255256872,0.0457141993886547,22.099097568784,0,0.920644368184879,1.09984073695257,1.01024255256872,0.704926962089553,0.705328505839264,3
"38","response","~","M","b",-0.00878510847888339,0.062333999996353,-0.140936061850634,0.887920453227681,-0.130957503484055,0.113387286526288,-0.00878510847888339,-0.0103529092120079,-0.0103529092120079,3
"39","response","~","X","c",-0.453482748066741,0.0898859503816873,-5.04509043005157,4.5330692266532e-07,-0.629655973531003,-0.27730952260248,-0.453482748066741,-0.372901826898337,-0.37311424095809,3
"40","response","~","S","s0",1.04530698759035,0.1283865287963,8.14187436478514,4.44089209850063e-16,0.793674015049484,1.29693996013121,1.04530698759035,0.430425875446807,0.860052394287686,3
"41","response","|","t1","",2.08039509366453,0.213190952723593,9.75836482311618,0,1.66254850449651,2.49824168283255,2.08039509366453,1.71169694894619,1.71169694894619,3
"42","M","~~","M","",1.03205715603541,0.0706107121583114,14.6161556014547,0,0.893662703282394,1.17045160878842,1.03205715603541,0.503077978119194,0.503077978119194,3
"43","response","~~","response","",0.999920347757627,0,NA,NA,0.999920347757627,0.999920347757627,0.999920347757627,0.676904681080152,0.676904681080152,3
"44","X","~~","X","",0.998861723446894,0,NA,NA,0.998861723446894,0.998861723446894,0.998861723446894,1,0.998861723446894,3
"45","X","~~","S","",0.0103567134268537,0,NA,NA,0.0103567134268537,0.0103567134268537,0.0103567134268537,0.020705981017101,0.0103567134268537,3
"46","S","~~","S","",0.250464929859719,0,NA,NA,0.250464929859719,0.250464929859719,0.250464929859719,1,0.250464929859719,3
"47","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,3
"48","M","~1","","",0.031879559568121,0.145243215325922,0.219490869136876,0.826267691837525,-0.252791911469482,0.316551030605724,0.031879559568121,0.0222575876058903,0.0222575876058903,3
"49","response","~1","","",0,0,NA,NA,0,0,0,0,0,3
"50","X","~1","","",-0.056,0,NA,NA,-0.056,-0.056,-0.056,-0.0560318989784661,-0.056,3
"51","S","~1","","",1.506,0,NA,NA,1.506,1.506,1.506,3.00920316292026,1.506,3
"52","indirect",":=","a*b","indirect",-0.00887509041430031,0.0629756568882881,-0.140928905752325,0.887926106545335,-0.132305109818097,0.114554928989496,-0.00887509041430031,-0.00729804483960969,-0.00730220198559511,3
"53","direct",":=","c","direct",-0.453482748066741,0.0898859503816873,-5.04509043005157,4.5330692266532e-07,-0.629655973531003,-0.27730952260248,-0.453482748066741,-0.372901826898337,-0.37311424095809,3
"54","total",":=","c+(a*b)","total",-0.462357838481041,0.0643999505503785,-7.17947505440008,6.99884594723699e-13,-0.588579422165944,-0.336136254796139,-0.462357838481041,-0.380199871737947,-0.380416442943685,3
"55","M","~","X","a",0.979156649586872,0.0435565658548093,22.48011592215,0,0.893787349221199,1.06452594995255,0.979156649586872,0.711682237766674,0.710992951469989,4
"56","response","~","M","b",0.0886155034383039,0.0593483556891492,1.49314167864141,0.135400104600441,-0.0277051362541012,0.204936143130709,0.0886155034383039,0.114908514264532,0.114908514264532,4
"57","response","~","X","c",-0.326923308319396,0.0818130875367194,-3.99597812724848,6.44276826891055e-05,-0.487274013355389,-0.166572603283403,-0.326923308319396,-0.30812173494293,-0.307823309496381,4
"58","response","~","S","s0",0.532347376359989,0.115791385367943,4.59746961890458,4.27652963130853e-06,0.305400431318823,0.759294321401155,0.532347376359989,0.250421913144103,0.501245787690217,4
"59","response","|","t1","",0.621848293619333,0.183510333095584,3.38862822125353,0.000702431788443869,0.262174649961039,0.981521937277627,0.621848293619333,0.585517749500957,0.585517749500957,4
"60","M","~~","M","",0.935983746360636,0.0587196180561385,15.939881377733,0,0.820895409784657,1.05107208293662,0.935983746360636,0.493508392447419,0.493508392447419,4
"61","response","~~","response","",0.992649993462227,0,NA,NA,0.992649993462227,0.992649993462227,0.992649993462227,0.880050066261962,0.880050066261962,4
"62","X","~~","X","",1.00193987975952,0,NA,NA,1.00193987975952,1.00193987975952,1.00193987975952,1,1.00193987975952,4
"63","X","~~","S","",0.00224448897795591,0,NA,NA,0.00224448897795591,0.00224448897795591,0.00224448897795591,0.00448822946396572,0.00224448897795591,4
"64","S","~~","S","",0.249599198396794,0,NA,NA,0.249599198396794,0.249599198396794,0.249599198396794,1,0.249599198396794,4
"65","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,4
"66","M","~1","","",0.0470625132274316,0.139718465519868,0.336838177060706,0.736238891945917,-0.226780647166712,0.320905673621575,0.0470625132274316,0.0341734034051497,0.0341734034051497,4
"67","response","~1","","",0,0,NA,NA,0,0,0,0,0,4
"68","X","~1","","",-0.008,0,NA,NA,-0.008,-0.008,-0.008,-0.00799225175214323,-0.008,4
"69","S","~1","","",1.53,0,NA,NA,1.53,1.53,1.53,3.0624558591433,1.53,4
"70","indirect",":=","a*b","indirect",0.0867684594481036,0.0582389528493466,1.48986984145401,0.136258462731506,-0.027377790633942,0.200914709530149,0.0867684594481036,0.0817783485702259,0.0816991437059709,4
"71","direct",":=","c","direct",-0.326923308319396,0.0818130875367194,-3.99597812724848,6.44276826891055e-05,-0.487274013355389,-0.166572603283403,-0.326923308319396,-0.30812173494293,-0.307823309496381,4
"72","total",":=","c+(a*b)","total",-0.240154848871292,0.0579319704193608,-4.14546315502213,3.39127531143735e-05,-0.353699424446679,-0.126610273295905,-0.240154848871292,-0.226343386372704,-0.22612416579041,4
"73","M","~","X","a",0.995268293861627,0.0454762596334659,21.8854475254427,0,0.906136462828441,1.08440012489481,0.995268293861627,0.700228626803304,0.699617604497012,5
"74","response","~","M","b",-0.0525992833599705,0.0548920076533428,-0.958232092587113,0.337945737742002,-0.160185641399619,0.0549870746796784,-0.0525992833599705,-0.067827236267994,-0.067827236267994,5
"75","response","~","X","c",-0.32683103462734,0.0810726498024161,-4.03133529524281,5.54608561345038e-05,-0.485730508371304,-0.167931560883377,-0.32683103462734,-0.296515414731346,-0.296256674192005,5
"76","response","~","S","s0",0.526275810750104,0.119014027132805,4.42196456525955,9.7807499750413e-06,0.293012603914733,0.759539017585475,0.526275810750104,0.238437761298443,0.4770438082121,5
"77","response","|","t1","",0.464917845707223,0.189696640849649,2.45084912218193,0.0142519678171145,0.0931192616536821,0.836716429760764,0.464917845707223,0.421425752602662,0.421425752602662,5
"78","M","~~","M","",1.03146943032871,0.0676496206417786,15.2472315519786,0,0.898878610303025,1.16406025035439,1.03146943032871,0.509679870205158,0.509679870205158,5
"79","response","~~","response","",0.997146249401442,0,NA,NA,0.997146249401442,0.997146249401442,0.997146249401442,0.819310590667786,0.819310590667786,5
"80","X","~~","X","",1.00174749498998,0,NA,NA,1.00174749498998,1.00174749498998,1.00174749498998,1,1.00174749498998,5
"81","X","~~","S","",-0.00960320641282565,0,NA,NA,-0.00960320641282565,-0.00960320641282565,-0.00960320641282565,-0.019196425110294,-0.00960320641282565,5
"82","S","~~","S","",0.249823647294589,0,NA,NA,0.249823647294589,0.249823647294589,0.249823647294589,1,0.249823647294589,5
"83","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,5
"84","M","~1","","",-0.0652024585426446,0.150420814442364,-0.433466995803484,0.664675538150977,-0.36002183737486,0.229616920289571,-0.0652024585426446,-0.0458336592597844,-0.0458336592597844,5
"85","response","~1","","",0,0,NA,NA,0,0,0,0,0,5
"86","X","~1","","",-0.016,0,NA,NA,-0.016,-0.016,-0.016,-0.0159860383358714,-0.016,5
"87","S","~1","","",1.526,0,NA,NA,1.526,1.526,1.526,3.05307702675708,1.526,5
"88","indirect",":=","a*b","indirect",-0.0523503990080221,0.0546845022668496,-0.957316914992888,0.33840732023279,-0.159530053963546,0.0548292559475021,-0.0523503990080221,-0.0474945725118007,-0.0474531285574668,5
"89","direct",":=","c","direct",-0.32683103462734,0.0810726498024161,-4.03133529524281,5.54608561345038e-05,-0.485730508371304,-0.167931560883377,-0.32683103462734,-0.296515414731346,-0.296256674192005,5
