"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241818724,0.0447259591215822,24.279242737653,0,0.998251149134926,1.17357368723955,1.08591241818724,0.738668348882449,0.738520363636271,1
"2","response","~","M","b",0.364738747236277,0.0573891490574374,6.35553503104274,2.07702299803714e-10,0.252258081980299,0.477219412492255,0.364738747236277,0.480088199727134,0.480088199727134,1
"3","response","~","X","c",0.101680998387108,0.0954229508741706,1.0655822048638,0.286612546958509,-0.0853445486248007,0.288706545399018,0.101680998387108,0.0910402877846472,0.0910220487204985,1
"4","response","~","S","s0",-0.095026899990881,0.135740566899394,-0.700062642741958,0.483888184418736,-0.361073522354742,0.17101972237298,-0.095026899990881,-0.0425412636563448,-0.0850654818297352,1
"5","response","|","t1","",0.75005311410185,0.221916586762723,3.37988757417137,0.000725154857494914,0.315104596474856,1.18500163172884,0.75005311410185,0.671427033346241,0.671427033346241,1
"6","M","~~","M","",0.982366197073864,0.0669472452885657,14.673735907124,0,0.851152007444107,1.11358038670362,0.982366197073864,0.454369070359277,0.454369070359277,1
"7","response","~~","response","",0.869311547840689,0,NA,NA,0.869311547840689,0.869311547840689,0.869311547840689,0.696608962681368,0.696608962681368,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517524029738314,0.142567845477342,-0.363001929366016,0.71660344307216,-0.331180245462894,0.227675439515231,-0.0517524029738314,-0.035196395973708,-0.035196395973708,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",0.396074335017929,0.0644880730492121,6.14182307348023,8.15796985520478e-10,0.269680034409085,0.522468635626773,0.396074335017929,0.354625957810389,0.354554911839966,1
"17","direct",":=","c","direct",0.101680998387108,0.0954229508741706,1.0655822048638,0.286612546958509,-0.0853445486248007,0.288706545399018,0.101680998387108,0.0910402877846472,0.0910220487204985,1
"18","total",":=","c+(a*b)","total",0.497755333405037,0.0721737712534336,6.8966235899909,5.32529575991703e-12,0.356297341119875,0.6392133256902,0.497755333405037,0.445666245595037,0.445576960560464,1
"19","M","~","X","a",1.05215496001861,0.045435556222667,23.1570832953445,0,0.963102906204634,1.14120701383258,1.05215496001861,0.722044190116779,0.721789655879564,2
