"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"1","M","~","X","a",1.08591241727868,0.0447259591215822,24.279242717339,0,0.998251148226365,1.17357368633099,1.08591241727868,0.738668348870884,0.738520363624709,1
"2","response","~","M","b",-1.002644455865,0.0327415039219505,-30.6230421869172,0,-1.0668166243517,-0.938472287378304,-1.002644455865,-0.541335852641194,-0.541335852641194,1
"3","response","~","X","c",0.856759717233828,0.23509804779452,3.64426555333479,0.00026815644345124,0.395976010720892,1.31754342374676,0.856759717233828,0.314654222813629,0.314591184803818,1
"4","response","~","S","s0",-5.02250093758665,0.498376264056102,-10.0777290168483,0,-5.99930046588624,-4.04570140928707,-5.02250093758665,-0.922283749637204,-1.84419795754992,1
"5","response","|","t1","",-7.68483395060629,0.905567700230996,-8.48620588901969,0,-9.4597140286218,-5.90995387259077,-7.68483395060629,-2.82177250973861,-2.82177250973861,1
"6","M","~~","M","",0.982366195497707,0.0669472452885657,14.6737358835807,0,0.85115200586795,1.11358038512747,0.982366195497707,0.454369070376362,0.454369070376362,1
"7","response","~~","response","",0.0124312865767233,0,NA,NA,0.0124312865767233,0.0124312865767233,0.0124312865767233,0.00167606593237853,0.00167606593237853,1
"8","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,1
"9","X","~~","S","",0.0232464929859719,0,NA,NA,0.0232464929859719,0.0232464929859719,0.0232464929859719,0.046474358974359,0.0232464929859719,1
"10","S","~~","S","",0.250100200400802,0,NA,NA,0.250100200400802,0.250100200400802,0.250100200400802,1,0.250100200400802,1
"11","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,1
"12","M","~1","","",-0.0517524038402473,0.142567845477342,-0.363001935443235,0.716603438532417,-0.33118024632931,0.227675438648815,-0.0517524038402473,-0.0351963965918476,-0.0351963965918476,1
"13","response","~1","","",0,0,NA,NA,0,0,0,0,0,1
"14","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,1
"15","S","~1","","",1.52,0,NA,NA,1.52,1.52,1.52,3.03939096463378,1.52,1
"16","indirect",":=","a*b","indirect",-1.08878406473943,0.0569016076518056,-19.1345044484851,0,-1.2003091663994,-0.977258963079462,-1.08878406473943,-0.399867660455083,-0.399787550735666,1
"17","direct",":=","c","direct",0.856759717233828,0.23509804779452,3.64426555333479,0.00026815644345124,0.395976010720892,1.31754342374676,0.856759717233828,0.314654222813629,0.314591184803818,1
